,count,pair
230,2.0,"(like,diaspora)"
231,1.0,"(like,diego)"
232,1.0,"(like,difficulti)"
233,1.0,"(like,digest)"
234,1.0,"(like,disappear)"
235,6.0,"(like,discuss)"
236,9.0,"(like,dish)"
237,1.0,"(like,distinct)"
238,3.0,"(like,distract)"
239,1.0,"(like,dolc)"
240,1.0,"(like,dollhous)"
241,5.0,"(like,donald)"
242,1.0,"(like,dot)"
243,1.0,"(like,dragon)"
244,1.0,"(like,drape)"
245,8.0,"(like,draw)"
246,1.0,"(like,dred)"
247,6.0,"(like,drop)"
248,1.0,"(like,drum8668114111)"
249,1.0,"(like,dryclean)"
250,1.0,"(like,dryer)"
251,1.0,"(like,dubai)"
252,9.0,"(like,duck)"
253,1.0,"(like,dumb)"
254,1.0,"(like,dump)"
255,1.0,"(like,dunham)"
256,2.0,"(like,duti)"
257,1.0,"(like,dylan)"
258,1.0,"(like,eagl)"
259,2.0,"(like,ear)"
260,8.0,"(like,earn)"
261,2.0,"(like,earth)"
262,4.0,"(like,easili)"
263,1.0,"(like,eaten)"
264,5.0,"(like,econom)"
265,6.0,"(like,economi)"
266,1.0,"(like,edi)"
267,1.0,"(like,edith)"
268,6.0,"(like,egg)"
269,1.0,"(like,eggshap)"
270,1.0,"(like,eightinch)"
271,8.0,"(like,either)"
272,2.0,"(like,elabor)"
273,2.0,"(like,eleph)"
274,1.0,"(like,elud)"
275,1.0,"(like,embarrass)"
276,3.0,"(like,emot)"
277,1.0,"(like,empower)"
278,1.0,"(like,encircl)"
279,3.0,"(like,encourag)"
280,3.0,"(like,endur)"
281,1.0,"(like,entangl)"
282,2.0,"(like,entertain)"
283,3.0,"(like,entrepreneur)"
284,2.0,"(like,entri)"
285,9.0,"(like,episod)"
286,1.0,"(like,epitaph)"
287,7.0,"(like,equal)"
288,2.0,"(like,equip)"
289,1.0,"(like,erdogan)"
290,1.0,"(like,essay)"
291,4.0,"(like,ethic)"
292,3.0,"(like,euphoria)"
293,1.0,"(like,euroamerican)"
294,1.0,"(like,evanss)"
295,19.0,"(like,ever)"
296,2.0,"(like,exasper)"
297,1.0,"(like,exclud)"
298,5.0,"(like,exhibit)"
299,1.0,"(like,exoner)"
300,5.0,"(like,expand)"
301,5.0,"(like,experienc)"
302,12.0,"(like,explain)"
303,2.0,"(like,explan)"
304,2.0,"(like,export)"
305,1.0,"(like,fabulist)"
306,2.0,"(like,factori)"
307,1.0,"(like,fairview)"
308,1.0,"(like,fairway)"
309,3.0,"(like,faith)"
310,13.0,"(like,fall)"
311,2.0,"(like,fascin)"
312,4.0,"(like,favor)"
313,1.0,"(like,favourit)"
314,1.0,"(like,fearsom)"
315,1.0,"(like,februari)"
316,1.0,"(like,feckless)"
317,7.0,"(like,feder)"
318,4.0,"(like,feed)"
319,15.0,"(like,femal)"
320,5.0,"(like,fifth)"
321,1.0,"(like,fifthlargest)"
322,2.0,"(like,filmmak)"
323,29.0,"(like,find)"
324,3.0,"(like,finest)"
325,1.0,"(like,firsttim)"
326,14.0,"(like,fit)"
327,2.0,"(like,flaw)"
328,1.0,"(like,flour)"
329,1.0,"(like,flow)"
330,2.0,"(like,followup)"
331,3.0,"(like,footag)"
332,1.0,"(like,forgo)"
333,2.0,"(like,formula)"
334,5.0,"(like,foss)"
335,2.0,"(like,frach)"
336,1.0,"(like,framer)"
337,6.0,"(like,franc)"
338,1.0,"(like,franco)"
339,1.0,"(like,freespend)"
340,1.0,"(like,frenchstyl)"
341,6.0,"(like,fresh)"
342,1.0,"(like,frothi)"
343,2.0,"(like,fruit)"
344,4.0,"(like,fulfil)"
345,1.0,"(like,gaia)"
346,7.0,"(like,galleri)"
347,3.0,"(like,gari)"
348,1.0,"(like,genocid)"
349,2.0,"(like,gentl)"
350,1.0,"(like,gentlemen)"
