,count,pair
178,1.0,"(citi,struggl)"
179,1.0,"(citi,sunday)"
180,1.0,"(citi,swift)"
181,1.0,"(citi,symbol)"
182,1.0,"(citi,tacon)"
183,1.0,"(citi,taken)"
184,1.0,"(citi,talk)"
185,1.0,"(citi,term)"
186,2.0,"(citi,terror)"
187,1.0,"(citi,these)"
188,14.0,"(citi,they)"
189,1.0,"(citi,thought)"
190,2.0,"(citi,told)"
191,7.0,"(citi,transport)"
192,2.0,"(citi,triest)"
193,1.0,"(citi,trinh)"
194,1.0,"(citi,tweak)"
195,1.0,"(citi,twitter)"
196,1.0,"(citi,univers)"
197,1.0,"(citi,vacat)"
198,1.0,"(citi,vagu)"
199,6.0,"(citi,vast)"
200,1.0,"(citi,washington)"
201,2.0,"(citi,wave)"
202,1.0,"(citi,weapon)"
203,1.0,"(citi,wear)"
204,3.0,"(citi,west)"
205,2.0,"(citi,when)"
206,1.0,"(citi,who)"
207,1.0,"(citi,will)"
208,2.0,"(citi,yet)"
209,70.0,"(like,)"
210,1.0,"(like,14)"
211,1.0,"(like,151)"
212,1.0,"(like,1985)"
213,1.0,"(like,200)"
214,1.0,"(like,42)"
215,1.0,"(like,5foot5)"
216,3.0,"(like,account)"
217,1.0,"(like,accur)"
218,5.0,"(like,act)"
219,1.0,"(like,affair)"
220,1.0,"(like,ago)"
221,4.0,"(like,almost)"
222,2.0,"(like,announc)"
223,5.0,"(like,anoth)"
224,3.0,"(like,app)"
225,1.0,"(like,appear)"
226,1.0,"(like,archetyp)"
227,1.0,"(like,area)"
228,1.0,"(like,avalon)"
229,1.0,"(like,avocado)"
230,1.0,"(like,balanc)"
231,1.0,"(like,barbar)"
232,1.0,"(like,barracuda)"
233,3.0,"(like,big)"
234,2.0,"(like,biggest)"
235,5.0,"(like,black)"
236,1.0,"(like,boat)"
237,1.0,"(like,boot)"
238,4.0,"(like,boyhood)"
239,1.0,"(like,bra)"
240,1.0,"(like,bronz)"
241,1.0,"(like,brother)"
242,1.0,"(like,bruce)"
243,1.0,"(like,busiest)"
244,7.0,"(like,but)"
245,1.0,"(like,cabinet)"
246,1.0,"(like,cajol)"
247,1.0,"(like,cao)"
248,3.0,"(like,care)"
249,1.0,"(like,chalk)"
250,4.0,"(like,challeng)"
251,1.0,"(like,charg)"
252,1.0,"(like,chicago)"
253,1.0,"(like,clash)"
254,3.0,"(like,club)"
255,1.0,"(like,code)"
256,2.0,"(like,coffe)"
257,1.0,"(like,coke)"
258,1.0,"(like,comfort)"
259,1.0,"(like,commission)"
260,1.0,"(like,commut)"
261,2.0,"(like,compar)"
262,1.0,"(like,congest)"
263,1.0,"(like,content)"
264,1.0,"(like,control)"
265,1.0,"(like,corrupt)"
266,1.0,"(like,counter)"
267,1.0,"(like,cover)"
268,1.0,"(like,custom)"
269,3.0,"(like,daughter)"
270,1.0,"(like,deafen)"
271,6.0,"(like,death)"
272,2.0,"(like,deep)"
273,1.0,"(like,denizen)"
274,2.0,"(like,detect)"
