,count,pair,word,cooccurword,alphaword
3512,1.0,"(like,mississippi)",like,mississippi,likemississippi
3513,2.0,"(like,model)",like,model,likemodel
3514,3.0,"(like,mokum)",like,mokum,likemokum
3515,1.0,"(like,momandpop)",like,momandpop,likemomandpop
3516,1.0,"(like,morel)",like,morel,likemorel
3517,5.0,"(like,movement)",like,movement,likemovement
3518,10.0,"(like,mozzarella)",like,mozzarella,likemozzarella
3519,2.0,"(like,mroczek)",like,mroczek,likemroczek
3520,1.0,"(like,mule)",like,mule,likemule
3521,1.0,"(like,multiplex)",like,multiplex,likemultiplex
3522,7.0,"(like,museum)",like,museum,likemuseum
3523,1.0,"(like,muslimrun)",like,muslimrun,likemuslimrun
3524,1.0,"(like,mussel)",like,mussel,likemussel
3525,2.0,"(like,mustard)",like,mustard,likemustard
3526,1.0,"(like,nacho)",like,nacho,likenacho
3527,2.0,"(like,nata)",like,nata,likenata
3528,2.0,"(like,ndujamascarpon)",like,ndujamascarpon,likendujamascarpon
3529,6.0,"(like,neil)",like,neil,likeneil
3530,17.0,"(like,never)",like,never,likenever
3531,3.0,"(like,news)",like,news,likenews
3532,3.0,"(like,nich)",like,nich,likenich
3533,1.0,"(like,niosh)",like,niosh,likeniosh
3534,1.0,"(like,nitrogen)",like,nitrogen,likenitrogen
3535,1.0,"(like,nocino)",like,nocino,likenocino
3536,2.0,"(like,nol)",like,nol,likenol
3537,2.0,"(like,none)",like,none,likenone
3538,10.0,"(like,noth)",like,noth,likenoth
3539,6.0,"(like,nyc)",like,nyc,likenyc
3540,1.0,"(like,nycoth)",like,nycoth,likenycoth
3541,1.0,"(like,occup)",like,occup,likeoccup
3542,2.0,"(like,of)",like,of,likeof
3543,1.0,"(like,offbroadway)",like,offbroadway,likeoffbroadway
3544,10.0,"(like,orang)",like,orang,likeorang
3545,1.0,"(like,orchid)",like,orchid,likeorchid
3546,1.0,"(like,ordinari)",like,ordinari,likeordinari
3547,1.0,"(like,ortiz)",like,ortiz,likeortiz
3548,8.0,"(like,out)",like,out,likeout
3549,1.0,"(like,outlet)",like,outlet,likeoutlet
3550,2.0,"(like,outpost)",like,outpost,likeoutpost
3551,1.0,"(like,own)",like,own,likeown
3552,1.0,"(like,pace)",like,pace,likepace
3553,1.0,"(like,palm)",like,palm,likepalm
3554,1.0,"(like,pang)",like,pang,likepang
3555,1.0,"(like,pao)",like,pao,likepao
3556,2.0,"(like,pari)",like,pari,likepari
3557,2.0,"(like,particip)",like,particip,likeparticip
3558,7.0,"(like,past)",like,past,likepast
3559,1.0,"(like,patrick)",like,patrick,likepatrick
3560,1.0,"(like,peck)",like,peck,likepeck
3561,1.0,"(like,pedersen)",like,pedersen,likepedersen
3562,80.0,"(like,peopl)",like,peopl,likepeopl
3563,1.0,"(like,pepita)",like,pepita,likepepita
3564,11.0,"(like,pepper)",like,pepper,likepepper
3565,17.0,"(like,perform)",like,perform,likeperform
3566,2.0,"(like,period)",like,period,likeperiod
3567,1.0,"(like,periwinkl)",like,periwinkl,likeperiwinkl
3568,1.0,"(like,philip)",like,philip,likephilip
3569,1.0,"(like,pho)",like,pho,likepho
3570,2.0,"(like,piano)",like,piano,likepiano
3571,24.0,"(like,pie)",like,pie,likepie
3572,1.0,"(like,pilsner)",like,pilsner,likepilsner
3573,3.0,"(like,pine)",like,pine,likepine
3574,1.0,"(like,pistachio)",like,pistachio,likepistachio
3575,1.0,"(like,pizzazz)",like,pizzazz,likepizzazz
3576,4.0,"(like,polenta)",like,polenta,likepolenta
3577,1.0,"(like,poor)",like,poor,likepoor
3578,2.0,"(like,portal)",like,portal,likeportal
3579,3.0,"(like,post)",like,post,likepost
3580,6.0,"(like,power)",like,power,likepower
3581,4.0,"(like,practic)",like,practic,likepractic
3582,1.0,"(like,predictor)",like,predictor,likepredictor
3583,2.0,"(like,preorder)",like,preorder,likepreorder
3584,1.0,"(like,pressur)",like,pressur,likepressur
3585,1.0,"(like,pretens)",like,pretens,likepretens
3586,2.0,"(like,primarili)",like,primarili,likeprimarili
3587,4.0,"(like,probabl)",like,probabl,likeprobabl
3588,16.0,"(like,product)",like,product,likeproduct
3589,1.0,"(like,propaganda)",like,propaganda,likepropaganda
3590,3.0,"(like,properti)",like,properti,likeproperti
3591,3.0,"(like,propos)",like,propos,likepropos
3592,7.0,"(like,prosciutto)",like,prosciutto,likeprosciutto
3593,1.0,"(like,prosper)",like,prosper,likeprosper
3594,1.0,"(like,protest)",like,protest,likeprotest
3595,4.0,"(like,provid)",like,provid,likeprovid
3596,1.0,"(like,psychiatr)",like,psychiatr,likepsychiatr
3597,2.0,"(like,pud)",like,pud,likepud
3598,3.0,"(like,purveyor)",like,purveyor,likepurveyor
3599,4.0,"(like,push)",like,push,likepush
3600,9.0,"(like,queen)",like,queen,likequeen
3601,1.0,"(like,quiet)",like,quiet,likequiet
3602,1.0,"(like,raaka)",like,raaka,likeraaka
3603,1.0,"(like,racial)",like,racial,likeracial
3604,11.0,"(like,radio)",like,radio,likeradio
3605,6.0,"(like,radish)",like,radish,likeradish
3606,2.0,"(like,ray)",like,ray,likeray
3607,2.0,"(like,reach)",like,reach,likereach
3608,18.0,"(like,real)",like,real,likereal
3609,2.0,"(like,rebirth)",like,rebirth,likerebirth
3610,2.0,"(like,reconcil)",like,reconcil,likereconcil
3611,1.0,"(like,reform)",like,reform,likereform
3612,2.0,"(like,region)",like,region,likeregion
3613,2.0,"(like,relat)",like,relat,likerelat
3614,2.0,"(like,relev)",like,relev,likerelev
3615,1.0,"(like,relic)",like,relic,likerelic
3616,3.0,"(like,requir)",like,requir,likerequir
3617,1.0,"(like,rescu)",like,rescu,likerescu
3618,2.0,"(like,retail)",like,retail,likeretail
3619,1.0,"(like,revolut)",like,revolut,likerevolut
3620,2.0,"(like,ribbon)",like,ribbon,likeribbon
3621,4.0,"(like,ribey)",like,ribey,likeribey
3622,10.0,"(like,rice)",like,rice,likerice
3623,17.0,"(like,right)",like,right,likeright
3624,6.0,"(like,ring)",like,ring,likering
3625,1.0,"(like,rivet)",like,rivet,likerivet
3626,1.0,"(like,roman)",like,roman,likeroman
3627,9.0,"(like,room)",like,room,likeroom
3628,5.0,"(like,root)",like,root,likeroot
3629,1.0,"(like,rough)",like,rough,likerough
3630,1.0,"(like,roy)",like,roy,likeroy
3631,6.0,"(like,run)",like,run,likerun
3632,1.0,"(like,ryan)",like,ryan,likeryan
3633,33.0,"(like,said)",like,said,likesaid
3634,1.0,"(like,sammi)",like,sammi,likesammi
3635,15.0,"(like,sauc)",like,sauc,likesauc
3636,3.0,"(like,saw)",like,saw,likesaw
3637,1.0,"(like,scrap)",like,scrap,likescrap
3638,1.0,"(like,screamer)",like,screamer,likescreamer
3639,2.0,"(like,scribbl)",like,scribbl,likescribbl
3640,10.0,"(like,seat)",like,seat,likeseat
3641,1.0,"(like,segreg)",like,segreg,likesegreg
3642,5.0,"(like,seltzer)",like,seltzer,likeseltzer
3643,1.0,"(like,session)",like,session,likesession
3644,6.0,"(like,sevencours)",like,sevencours,likesevencours
3645,1.0,"(like,shellfish)",like,shellfish,likeshellfish
3646,1.0,"(like,shoot)",like,shoot,likeshoot
3647,1.0,"(like,shucker)",like,shucker,likeshucker
3648,1.0,"(like,singerrapp)",like,singerrapp,likesingerrapp
3649,4.0,"(like,singl)",like,singl,likesingl
3650,11.0,"(like,sit)",like,sit,likesit
3651,4.0,"(like,smell)",like,smell,likesmell
3652,1.0,"(like,smith)",like,smith,likesmith
3653,2.0,"(like,smorgasburg)",like,smorgasburg,likesmorgasburg
3654,18.0,"(like,so)",like,so,likeso
3655,2.0,"(like,societi)",like,societi,likesocieti
3656,8.0,"(like,soft)",like,soft,likesoft
3657,3.0,"(like,soon)",like,soon,likesoon
3658,1.0,"(like,sore)",like,sore,likesore
3659,25.0,"(like,sound)",like,sound,likesound
3660,1.0,"(like,spiceheavi)",like,spiceheavi,likespiceheavi
3661,1.0,"(like,spoon)",like,spoon,likespoon
3662,3.0,"(like,spring)",like,spring,likespring
3663,5.0,"(like,sprinkl)",like,sprinkl,likesprinkl
3664,1.0,"(like,squarefoot)",like,squarefoot,likesquarefoot
3665,1.0,"(like,standup)",like,standup,likestandup
3666,6.0,"(like,star)",like,star,likestar
3667,2.0,"(like,starbuck)",like,starbuck,likestarbuck
3668,1.0,"(like,startup)",like,startup,likestartup
3669,1.0,"(like,stay)",like,stay,likestay
3670,1.0,"(like,steel)",like,steel,likesteel
3671,3.0,"(like,stephen)",like,stephen,likestephen
3672,2.0,"(like,steroid)",like,steroid,likesteroid
3673,21.0,"(like,stori)",like,stori,likestori
3674,1.0,"(like,stress)",like,stress,likestress
3675,1.0,"(like,strictest)",like,strictest,likestrictest
3676,4.0,"(like,strip)",like,strip,likestrip
3677,2.0,"(like,striver)",like,striver,likestriver
3678,2.0,"(like,striversrow)",like,striversrow,likestriversrow
3679,5.0,"(like,strong)",like,strong,likestrong
3680,1.0,"(like,stun)",like,stun,likestun
3681,2.0,"(like,subscript)",like,subscript,likesubscript
3682,1.0,"(like,suit)",like,suit,likesuit
3683,5.0,"(like,sunday)",like,sunday,likesunday
3684,8.0,"(like,support)",like,support,likesupport
3685,4.0,"(like,surpris)",like,surpris,likesurpris
3686,1.0,"(like,surprisecost)",like,surprisecost,likesurprisecost
3687,1.0,"(like,suspici)",like,suspici,likesuspici
3688,1.0,"(like,sweat)",like,sweat,likesweat
3689,2.0,"(like,swizzl)",like,swizzl,likeswizzl
3690,7.0,"(like,tabl)",like,tabl,liketabl
3691,2.0,"(like,tag)",like,tag,liketag
3692,1.0,"(like,tahiti)",like,tahiti,liketahiti
3693,1.0,"(like,tail)",like,tail,liketail
3694,1.0,"(like,tape)",like,tape,liketape
3695,1.0,"(like,tart)",like,tart,liketart
3696,2.0,"(like,techniqu)",like,techniqu,liketechniqu
3697,3.0,"(like,tequila)",like,tequila,liketequila
3698,2.0,"(like,termin)",like,termin,liketermin
3699,1.0,"(like,testicl)",like,testicl,liketesticl
3700,2.0,"(like,texa)",like,texa,liketexa
3701,1.0,"(like,therebi)",like,therebi,liketherebi
3702,62.0,"(like,this)",like,this,likethis
3703,1.0,"(like,thischines)",like,thischines,likethischines
3704,7.0,"(like,thought)",like,thought,likethought
3705,9.0,"(like,three)",like,three,likethree
3706,1.0,"(like,threeact)",like,threeact,likethreeact
3707,1.0,"(like,threelay)",like,threelay,likethreelay
3708,3.0,"(like,thriller)",like,thriller,likethriller
3709,1.0,"(like,thunder)",like,thunder,likethunder
3710,3.0,"(like,tiara)",like,tiara,liketiara
3711,2.0,"(like,ticket)",like,ticket,liketicket
3712,38.0,"(like,time)",like,time,liketime
3713,3.0,"(like,tini)",like,tini,liketini
3714,5.0,"(like,titl)",like,titl,liketitl
3715,3.0,"(like,tofu)",like,tofu,liketofu
3716,3.0,"(like,tokyo)",like,tokyo,liketokyo
3717,2.0,"(like,ton)",like,ton,liketon
3718,1.0,"(like,tortellini)",like,tortellini,liketortellini
3719,1.0,"(like,tostada)",like,tostada,liketostada
3720,1.0,"(like,transform)",like,transform,liketransform
3721,1.0,"(like,treatment)",like,treatment,liketreatment
3722,1.0,"(like,trek)",like,trek,liketrek
3723,1.0,"(like,tripla)",like,tripla,liketripla
3724,1.0,"(like,true)",like,true,liketrue
3725,3.0,"(like,truli)",like,truli,liketruli
3726,1.0,"(like,tuxedo)",like,tuxedo,liketuxedo
3727,2.0,"(like,tweed)",like,tweed,liketweed
3728,8.0,"(like,twitter)",like,twitter,liketwitter
3729,1.0,"(like,unabash)",like,unabash,likeunabash
3730,1.0,"(like,uncanni)",like,uncanni,likeuncanni
3731,1.0,"(like,uncl)",like,uncl,likeuncl
3732,1.0,"(like,undersalt)",like,undersalt,likeundersalt
3733,1.0,"(like,unfamiliar)",like,unfamiliar,likeunfamiliar
3734,2.0,"(like,unfold)",like,unfold,likeunfold
3735,20.0,"(like,up)",like,up,likeup
3736,2.0,"(like,upon)",like,upon,likeupon
3737,2.0,"(like,utensil)",like,utensil,likeutensil
3738,1.0,"(like,vader)",like,vader,likevader
3739,3.0,"(like,vale)",like,vale,likevale
3740,2.0,"(like,valtierra)",like,valtierra,likevaltierra
3741,10.0,"(like,vanilla)",like,vanilla,likevanilla
3742,1.0,"(like,vanya)",like,vanya,likevanya
3743,1.0,"(like,vday)",like,vday,likevday
3744,1.0,"(like,vealricotta)",like,vealricotta,likevealricotta
3745,4.0,"(like,vegan)",like,vegan,likevegan
3746,1.0,"(like,veselka)",like,veselka,likeveselka
3747,4.0,"(like,vibe)",like,vibe,likevibe
3748,3.0,"(like,video)",like,video,likevideo
3749,1.0,"(like,viva)",like,viva,likeviva
3750,1.0,"(like,volum)",like,volum,likevolum
3751,4.0,"(like,w)",like,w,likew
3752,6.0,"(like,wagyu)",like,wagyu,likewagyu
3753,1.0,"(like,wah)",like,wah,likewah
3754,1.0,"(like,walt)",like,walt,likewalt
3755,2.0,"(like,wang)",like,wang,likewang
3756,2.0,"(like,weekday)",like,weekday,likeweekday
3757,27.0,"(like,well)",like,well,likewell
3758,2.0,"(like,wellmean)",like,wellmean,likewellmean
3759,1.0,"(like,went)",like,went,likewent
3760,2.0,"(like,wheat)",like,wheat,likewheat
3761,1.0,"(like,whenev)",like,whenev,likewhenev
3762,1.0,"(like,whitefish)",like,whitefish,likewhitefish
3763,4.0,"(like,who)",like,who,likewho
3764,3.0,"(like,whod)",like,whod,likewhod
3765,1.0,"(like,whomight)",like,whomight,likewhomight
3766,1.0,"(like,whore)",like,whore,likewhore
3767,2.0,"(like,widow)",like,widow,likewidow
3768,5.0,"(like,wild)",like,wild,likewild
3769,1.0,"(like,wildfir)",like,wildfir,likewildfir
3770,1.0,"(like,wildlif)",like,wildlif,likewildlif
3771,5.0,"(like,willi)",like,willi,likewilli
3772,11.0,"(like,wine)",like,wine,likewine
3773,18.0,"(like,with)",like,with,likewith
3774,7.0,"(like,without)",like,without,likewithout
3775,4.0,"(like,wood)",like,wood,likewood
3776,42.0,"(like,would)",like,would,likewould
3777,2.0,"(like,yearround)",like,yearround,likeyearround
3778,6.0,"(like,yet)",like,yet,likeyet
3779,1.0,"(like,ying)",like,ying,likeying
3780,2.0,"(like,yogurt)",like,yogurt,likeyogurt
3781,49.0,"(like,york)",like,york,likeyork
3782,1.0,"(like,yorkstyl)",like,yorkstyl,likeyorkstyl
3783,1.0,"(like,zanzibar)",like,zanzibar,likezanzibar
3784,1.0,"(like,zodiac)",like,zodiac,likezodiac
3785,1.0,"(new,1083)",1083,new,1083new
3786,17.0,"(new,12)",12,new,12new
3787,3.0,"(new,1230)",1230,new,1230new
3788,1.0,"(new,129)",129,new,129new
3789,8.0,"(new,150)",150,new,150new
3790,1.0,"(new,1517)",1517,new,1517new
3791,1.0,"(new,171)",171,new,171new
3792,1.0,"(new,1800s)",1800s,new,1800snew
3793,1.0,"(new,180degre)",180degre,new,180degrenew
3794,3.0,"(new,185)",185,new,185new
3795,4.0,"(new,19)",19,new,19new
3796,1.0,"(new,1937)",1937,new,1937new
3797,1.0,"(new,1965)",1965,new,1965new
3798,3.0,"(new,199)",199,new,199new
3799,2.0,"(new,2000)",2000,new,2000new
3800,15.0,"(new,2014)",2014,new,2014new
3801,1.0,"(new,20someth)",20someth,new,20somethnew
3802,2.0,"(new,220)",220,new,220new
3803,7.0,"(new,26)",26,new,26new
3804,8.0,"(new,3)",3,new,3new
3805,1.0,"(new,311)",311,new,311new
3806,1.0,"(new,31yearold)",31yearold,new,31yearoldnew
3807,1.0,"(new,325)",325,new,325new
3808,1.0,"(new,33)",33,new,33new
3809,1.0,"(new,360)",360,new,360new
3810,7.0,"(new,40)",40,new,40new
3811,1.0,"(new,47)",47,new,47new
3812,4.0,"(new,500)",500,new,500new
3813,1.0,"(new,515715)",515715,new,515715new
3814,1.0,"(new,54)",54,new,54new
3815,1.0,"(new,58th)",58th,new,58thnew
3816,3.0,"(new,75)",75,new,75new
3817,1.0,"(new,80proof)",80proof,new,80proofnew
3818,10.0,"(new,89)",89,new,89new
3819,1.0,"(new,a24)",a24,new,a24new
3820,3.0,"(new,aboard)",aboard,new,aboardnew
3821,1.0,"(new,abram)",abram,new,abramnew
