,count,pair,word,cooccurword,alphaword
6198,2.0,"(work,state)",state,work,statework
6199,1.0,"(work,steve)",steve,work,stevework
6200,1.0,"(work,taken)",taken,work,takenwork
6201,2.0,"(work,tanaka)",tanaka,work,tanakawork
6202,488.0,"(work,tell)",tell,work,tellwork
6203,1.0,"(work,texasbas)",texasbas,work,texasbaswork
6204,2.0,"(work,them)",them,work,themwork
6205,2.0,"(work,togeth)",togeth,work,togethwork
6206,1.0,"(work,trade)",trade,work,tradework
6207,1.0,"(work,trip)",trip,work,tripwork
6208,1.0,"(work,volunt)",volunt,work,voluntwork
6209,2.0,"(work,whi)",whi,work,whiwork
6210,1.0,"(world,1984)",1984,world,1984world
6211,1.0,"(world,academi)",academi,world,academiworld
6212,2.0,"(world,america)",america,world,americaworld
6213,1.0,"(world,anger)",anger,world,angerworld
6214,1.0,"(world,att)",att,world,attworld
6215,1.0,"(world,backlash)",backlash,world,backlashworld
6216,1.0,"(world,best)",best,world,bestworld
6217,1.0,"(world,blockbust)",blockbust,world,blockbustworld
6218,1.0,"(world,bridj)",bridj,world,bridjworld
6219,1.0,"(world,builder)",builder,world,builderworld
6220,2.0,"(world,china)",china,world,chinaworld
6221,1.0,"(world,closer)",closer,world,closerworld
6222,1.0,"(world,come)",come,world,comeworld
6223,1.0,"(world,compani)",compani,world,companiworld
6224,1.0,"(world,concept)",concept,world,conceptworld
6225,4.0,"(world,countri)",countri,world,countriworld
6226,1.0,"(world,cut)",cut,world,cutworld
6227,2.0,"(world,everyon)",everyon,world,everyonworld
6228,2.0,"(world,exampl)",exampl,world,examplworld
6229,2.0,"(world,far)",far,world,farworld
6230,1.0,"(world,fastest)",fastest,world,fastestworld
6231,2.0,"(world,first)",first,world,firstworld
6232,1.0,"(world,forum)",forum,world,forumworld
6233,1.0,"(world,gain)",gain,world,gainworld
6234,1.0,"(world,govcombin)",govcombin,world,govcombinworld
6235,1.0,"(world,habitat)",habitat,world,habitatworld
6236,2.0,"(world,higher)",higher,world,higherworld
6237,1.0,"(world,histor)",histor,world,historworld
6238,1.0,"(world,host)",host,world,hostworld
6239,1.0,"(world,idea)",idea,world,ideaworld
6240,2.0,"(world,inaugur)",inaugur,world,inaugurworld
6241,1.0,"(world,interview)",interview,world,interviewworld
6242,1.0,"(world,left)",left,world,leftworld
6243,1.0,"(world,lot)",lot,world,lotworld
6244,2.0,"(world,metric)",metric,world,metricworld
6245,1.0,"(world,migrant)",migrant,world,migrantworld
6246,1.0,"(world,mitig)",mitig,world,mitigworld
6247,3.0,"(world,nation)",nation,world,nationworld
6249,1.0,"(world,north)",north,world,northworld
6250,1.0,"(world,now)",now,world,nowworld
6251,1.0,"(world,pandem)",pandem,world,pandemworld
6252,1.0,"(world,place)",place,world,placeworld
6253,1.0,"(world,play)",play,world,playworld
6254,2.0,"(world,problem)",problem,world,problemworld
6255,1.0,"(world,project)",project,world,projectworld
6256,1.0,"(world,recent)",recent,world,recentworld
6257,1.0,"(world,reflect)",reflect,world,reflectworld
6258,2.0,"(world,renaiss)",renaiss,world,renaissworld
6259,2.0,"(world,research)",research,world,researchworld
6260,1.0,"(world,resolv)",resolv,world,resolvworld
6261,1.0,"(world,runner)",runner,world,runnerworld
6262,1.0,"(world,russia)",russia,world,russiaworld
6263,1.0,"(world,school)",school,world,schoolworld
6264,1.0,"(world,sf)",sf,world,sfworld
6265,1.0,"(world,store)",store,world,storeworld
6266,1.0,"(world,subdivid)",subdivid,world,subdividworld
6267,1.0,"(world,suppos)",suppos,world,supposworld
6268,1.0,"(world,tri)",tri,world,triworld
6269,1.0,"(world,unhabitat)",unhabitat,world,unhabitatworld
6270,1.0,"(world,user)",user,world,userworld
6271,1.0,"(world,window)",window,world,windowworld
6272,2.0,"(world,would)",world,would,worldwould
6273,1.0,"(world,yesterday)",world,yesterday,worldyesterday
6274,486.0,"(atlant,2019)",2019,atlant,2019atlant
6275,1.0,"(atlant,alexia)",alexia,atlant,alexiaatlant
6276,1.0,"(atlant,anni)",anni,atlant,anniatlant
6277,1.0,"(atlant,artist)",artist,atlant,artistatlant
6278,10.0,"(atlant,associ)",associ,atlant,associatlant
6279,1.0,"(atlant,baldegg)",atlant,baldegg,atlantbaldegg
6280,1.0,"(atlant,bendix)",atlant,bendix,atlantbendix
6281,1.0,"(atlant,c)",atlant,c,atlantc
6282,1.0,"(atlant,derek)",atlant,derek,atlantderek
6283,1.0,"(atlant,destroy)",atlant,destroy,atlantdestroy
6284,1.0,"(atlant,dream)",atlant,dream,atlantdream
6285,1.0,"(atlant,falk)",atlant,falk,atlantfalk
6286,3.0,"(atlant,fellow)",atlant,fellow,atlantfellow
6287,1.0,"(atlant,friedersdorf)",atlant,friedersdorf,atlantfriedersdorf
6288,1.0,"(atlant,host)",atlant,host,atlanthost
6289,1.0,"(atlant,j)",atlant,j,atlantj
6290,1.0,"(atlant,jame)",atlant,jame,atlantjame
6291,1.0,"(atlant,koren)",atlant,koren,atlantkoren
6292,1.0,"(atlant,materi)",atlant,materi,atlantmateri
6293,1.0,"(atlant,nadin)",atlant,nadin,atlantnadin
6294,2.0,"(atlant,newslett)",atlant,newslett,atlantnewslett
6295,1.0,"(atlant,our)",atlant,our,atlantour
6296,1.0,"(atlant,philip)",atlant,philip,atlantphilip
6297,1.0,"(atlant,raff)",atlant,raff,atlantraff
6298,2.0,"(atlant,rotman)",atlant,rotman,atlantrotman
6299,1.0,"(atlant,sail)",atlant,sail,atlantsail
6300,1.0,"(atlant,siddhartha)",atlant,siddhartha,atlantsiddhartha
6301,1.0,"(atlant,site)",atlant,site,atlantsite
6302,1.0,"(atlant,steven)",atlant,steven,atlantsteven
6303,2.0,"(atlant,subscrib)",atlant,subscrib,atlantsubscrib
6304,1.0,"(atlant,talk)",atlant,talk,atlanttalk
6305,1.0,"(atlant,taylor)",atlant,taylor,atlanttaylor
6306,544.0,"(atlant,the)",atlant,the,atlantthe
6307,1.0,"(atlant,thompson)",atlant,thompson,atlantthompson
6308,2.0,"(citi,12)",12,citi,12citi
6309,1.0,"(citi,19)",19,citi,19citi
6310,1.0,"(citi,1958)",1958,citi,1958citi
6311,3.0,"(citi,200)",200,citi,200citi
6312,1.0,"(citi,2007)",2007,citi,2007citi
6313,2.0,"(citi,33)",33,citi,33citi
6314,1.0,"(citi,4)",4,citi,4citi
6315,2.0,"(citi,40)",40,citi,40citi
6316,2.0,"(citi,abolish)",abolish,citi,abolishciti
6317,1.0,"(citi,accord)",accord,citi,accordciti
6318,1.0,"(citi,act)",act,citi,actciti
6319,2.0,"(citi,advanc)",advanc,citi,advancciti
6320,1.0,"(citi,advantag)",advantag,citi,advantagciti
6321,2.0,"(citi,africa)",africa,citi,africaciti
6322,1.0,"(citi,african)",african,citi,africanciti
6323,2.0,"(citi,agenc)",agenc,citi,agencciti
6324,1.0,"(citi,agil)",agil,citi,agilciti
6325,1.0,"(citi,ago)",ago,citi,agociti
6326,1.0,"(citi,allen)",allen,citi,allenciti
6327,1.0,"(citi,am)",am,citi,amciti
6328,1.0,"(citi,ambitiousand)",ambitiousand,citi,ambitiousandciti
6329,13.0,"(citi,american)",american,citi,americanciti
6330,1.0,"(citi,anchor)",anchor,citi,anchorciti
6331,1.0,"(citi,angel)",angel,citi,angelciti
6332,1.0,"(citi,announc)",announc,citi,announcciti
6333,1.0,"(citi,anyth)",anyth,citi,anythciti
6334,1.0,"(citi,api)",api,citi,apiciti
6335,1.0,"(citi,ariel)",ariel,citi,arielciti
6336,1.0,"(citi,arizona)",arizona,citi,arizonaciti
6337,1.0,"(citi,arteri)",arteri,citi,artericiti
6338,2.0,"(citi,at)",at,citi,atciti
6340,2.0,"(citi,attorney)",attorney,citi,attorneyciti
6341,3.0,"(citi,automobil)",automobil,citi,automobilciti
6342,1.0,"(citi,away)",away,citi,awayciti
6343,2.0,"(citi,background)",background,citi,backgroundciti
6344,1.0,"(citi,bare)",bare,citi,bareciti
6345,1.0,"(citi,bastill)",bastill,citi,bastillciti
6346,1.0,"(citi,bazaar)",bazaar,citi,bazaarciti
6347,1.0,"(citi,bee)",bee,citi,beeciti
6348,1.0,"(citi,beefriend)",beefriend,citi,beefriendciti
6349,13.0,"(citi,big)",big,citi,bigciti
6350,2.0,"(citi,bin)",bin,citi,binciti
6351,1.0,"(citi,blend)",blend,citi,blendciti
6352,1.0,"(citi,boutiqu)",boutiqu,citi,boutiquciti
6353,1.0,"(citi,brand)",brand,citi,brandciti
6354,1.0,"(citi,brennan)",brennan,citi,brennanciti
6355,1.0,"(citi,broader)",broader,citi,broaderciti
6356,1.0,"(citi,brooklynand)",brooklynand,citi,brooklynandciti
6357,22.0,"(citi,build)",build,citi,buildciti
6358,2.0,"(citi,bulk)",bulk,citi,bulkciti
6359,1.0,"(citi,burn)",burn,citi,burnciti
6360,34.0,"(citi,but)",but,citi,butciti
6361,2.0,"(citi,bycyklen)",bycyklen,citi,bycyklenciti
6362,1.0,"(citi,cashfre)",cashfre,citi,cashfreciti
6363,2.0,"(citi,caught)",caught,citi,caughtciti
6364,1.0,"(citi,central)",central,citi,centralciti
6365,1.0,"(citi,chao)",chao,citi,chaociti
6366,2.0,"(citi,chart)",chart,citi,chartciti
6367,1.0,"(citi,chastiti)",chastiti,citi,chastiticiti
6368,1.0,"(citi,cheaperand)",cheaperand,citi,cheaperandciti
6369,5.0,"(citi,chicago)",chicago,citi,chicagociti
6370,1.0,"(citi,christma)",christma,citi,christmaciti
6371,1.0,"(citi,claudia)",citi,claudia,citiclaudia
6372,4.0,"(citi,clear)",citi,clear,citiclear
6373,1.0,"(citi,coalfir)",citi,coalfir,citicoalfir
6374,2.0,"(citi,coinoper)",citi,coinoper,citicoinoper
6375,1.0,"(citi,common)",citi,common,citicommon
6376,1.0,"(citi,compost)",citi,compost,citicompost
6377,1.0,"(citi,compromis)",citi,compromis,citicompromis
6378,1.0,"(citi,concretea)",citi,concretea,citiconcretea
6379,1.0,"(citi,conflict)",citi,conflict,citiconflict
6380,2.0,"(citi,congest)",citi,congest,citicongest
6381,1.0,"(citi,consum)",citi,consum,citiconsum
6382,9.0,"(citi,contribut)",citi,contribut,citicontribut
6383,1.0,"(citi,cope)",citi,cope,citicope
6384,13.0,"(citi,council)",citi,council,citicouncil
6385,1.0,"(citi,count)",citi,count,citicount
6386,2.0,"(citi,coverag)",citi,coverag,citicoverag
6387,1.0,"(citi,crow)",citi,crow,citicrow
6388,4.0,"(citi,current)",citi,current,citicurrent
6389,1.0,"(citi,danovich)",citi,danovich,citidanovich
6390,5.0,"(citi,data)",citi,data,citidata
6391,4.0,"(citi,debat)",citi,debat,citidebat
6392,3.0,"(citi,decad)",citi,decad,citidecad
6393,1.0,"(citi,decor)",citi,decor,citidecor
6394,1.0,"(citi,deepli)",citi,deepli,citideepli
6395,1.0,"(citi,defens)",citi,defens,citidefens
6396,1.0,"(citi,delight)",citi,delight,citidelight
6397,1.0,"(citi,delinqu)",citi,delinqu,citidelinqu
6398,1.0,"(citi,depress)",citi,depress,citidepress
6399,1.0,"(citi,derail)",citi,derail,citiderail
6400,4.0,"(citi,desert)",citi,desert,citidesert
6401,4.0,"(citi,detroit)",citi,detroit,citidetroit
6402,1.0,"(citi,direct)",citi,direct,citidirect
6403,4.0,"(citi,dispos)",citi,dispos,citidispos
6404,1.0,"(citi,diverg)",citi,diverg,citidiverg
6405,2.0,"(citi,doesnt)",citi,doesnt,citidoesnt
6406,2.0,"(citi,done)",citi,done,citidone
6407,1.0,"(citi,dot)",citi,dot,citidot
6408,1.0,"(citi,draft)",citi,draft,citidraft
6409,3.0,"(citi,dramat)",citi,dramat,citidramat
6410,3.0,"(citi,drive)",citi,drive,citidrive
6411,2.0,"(citi,dust)",citi,dust,citidust
