,count,pair,word,cooccurword,alphaword
191,1.0,"(dont,list)",dont,list,dontlist
192,4.0,"(dont,littl)",dont,littl,dontlittl
193,1.0,"(dont,loot)",dont,loot,dontloot
194,1.0,"(dont,loshernandez29)",dont,loshernandez29,dontloshernandez29
195,1.0,"(dont,luxuri)",dont,luxuri,dontluxuri
196,6.0,"(dont,made)",dont,made,dontmade
197,2.0,"(dont,magic)",dont,magic,dontmagic
198,22.0,"(dont,make)",dont,make,dontmake
199,7.0,"(dont,man)",dont,man,dontman
200,1.0,"(dont,meat)",dont,meat,dontmeat
201,1.0,"(dont,mela)",dont,mela,dontmela
202,1.0,"(dont,mesh)",dont,mesh,dontmesh
203,1.0,"(dont,metpoliceuk)",dont,metpoliceuk,dontmetpoliceuk
204,1.0,"(dont,minneapoli)",dont,minneapoli,dontminneapoli
205,1.0,"(dont,mj)",dont,mj,dontmj
206,1.0,"(dont,moan)",dont,moan,dontmoan
207,1.0,"(dont,more)",dont,more,dontmore
208,1.0,"(dont,motherfuck)",dont,motherfuck,dontmotherfuck
209,1.0,"(dont,n7goodman)",dont,n7goodman,dontn7goodman
210,1.0,"(dont,nanuet)",dont,nanuet,dontnanuet
211,1.0,"(dont,neglect)",dont,neglect,dontneglect
212,1.0,"(dont,newtonrox01)",dont,newtonrox01,dontnewtonrox01
213,1.0,"(dont,nicholasnapolio)",dont,nicholasnapolio,dontnicholasnapolio
214,1.0,"(dont,nigel)",dont,nigel,dontnigel
215,1.0,"(dont,nn)",dont,nn,dontnn
216,3.0,"(dont,nobodi)",dont,nobodi,dontnobodi
217,1.0,"(dont,nooo)",dont,nooo,dontnooo
218,1.0,"(dont,norm)",dont,norm,dontnorm
219,2.0,"(dont,nyc)",dont,nyc,dontnyc
220,1.0,"(dont,offfield_mascot)",dont,offfield_mascot,dontofffield_mascot
221,4.0,"(dont,often)",dont,often,dontoften
222,3.0,"(dont,ok)",dont,ok,dontok
223,2.0,"(dont,opinion)",dont,opinion,dontopinion
224,6.0,"(dont,or)",dont,or,dontor
225,1.0,"(dont,oti)",dont,oti,dontoti
226,3.0,"(dont,out)",dont,out,dontout
227,3.0,"(dont,over)",dont,over,dontover
228,3.0,"(dont,own)",dont,own,dontown
229,1.0,"(dont,paranoia)",dont,paranoia,dontparanoia
230,1.0,"(dont,pass)",dont,pass,dontpass
231,2.0,"(dont,patriot)",dont,patriot,dontpatriot
232,1.0,"(dont,pattern)",dont,pattern,dontpattern
233,1.0,"(dont,piec)",dont,piec,dontpiec
234,1.0,"(dont,pilot)",dont,pilot,dontpilot
235,1.0,"(dont,plant)",dont,plant,dontplant
236,6.0,"(dont,player)",dont,player,dontplayer
237,1.0,"(dont,pleasepretti)",dont,pleasepretti,dontpleasepretti
238,1.0,"(dont,plus)",dont,plus,dontplus
239,1.0,"(dont,poll)",dont,poll,dontpoll
240,1.0,"(dont,pooky0305)",dont,pooky0305,dontpooky0305
241,1.0,"(dont,powerlift)",dont,powerlift,dontpowerlift
242,5.0,"(dont,ppl)",dont,ppl,dontppl
243,1.0,"(dont,practic)",dont,practic,dontpractic
244,2.0,"(dont,pray)",dont,pray,dontpray
245,1.0,"(dont,pride)",dont,pride,dontpride
246,1.0,"(dont,procur)",dont,procur,dontprocur
247,1.0,"(dont,proud1patriot)",dont,proud1patriot,dontproud1patriot
248,1.0,"(dont,prowess)",dont,prowess,dontprowess
249,1.0,"(dont,psycholog)",dont,psycholog,dontpsycholog
250,1.0,"(dont,punch)",dont,punch,dontpunch
251,1.0,"(dont,qmagamik)",dont,qmagamik,dontqmagamik
252,1.0,"(dont,quicksess)",dont,quicksess,dontquicksess
253,1.0,"(dont,quirk)",dont,quirk,dontquirk
254,1.0,"(dont,rashida)",dont,rashida,dontrashida
255,5.0,"(dont,read)",dont,read,dontread
256,1.0,"(dont,recal)",dont,recal,dontrecal
257,1.0,"(dont,referendum)",dont,referendum,dontreferendum
258,1.0,"(dont,relationship)",dont,relationship,dontrelationship
259,1.0,"(dont,remain)",dont,remain,dontremain
260,1.0,"(dont,repli)",dont,repli,dontrepli
261,2.0,"(dont,republican)",dont,republican,dontrepublican
262,1.0,"(dont,research)",dont,research,dontresearch
263,1.0,"(dont,respect)",dont,respect,dontrespect
264,1.0,"(dont,reward)",dont,reward,dontreward
265,1.0,"(dont,royc)",dont,royc,dontroyc
266,1.0,"(dont,rrnicholas22)",dont,rrnicholas22,dontrrnicholas22
267,2.0,"(dont,rude)",dont,rude,dontrude
268,11.0,"(dont,run)",dont,run,dontrun
269,1.0,"(dont,safe)",dont,safe,dontsafe
270,1.0,"(dont,sathnam)",dont,sathnam,dontsathnam
271,5.0,"(dont,saw)",dont,saw,dontsaw
272,1.0,"(dont,scene)",dont,scene,dontscene
273,10.0,"(dont,scream)",dont,scream,dontscream
274,6.0,"(dont,seen)",dont,seen,dontseen
275,1.0,"(dont,senjeffmerkley)",dont,senjeffmerkley,dontsenjeffmerkley
276,5.0,"(dont,servic)",dont,servic,dontservic
277,8.0,"(dont,seven)",dont,seven,dontseven
278,1.0,"(dont,sf)",dont,sf,dontsf
279,1.0,"(dont,shape)",dont,shape,dontshape
280,2.0,"(dont,shepherd)",dont,shepherd,dontshepherd
281,1.0,"(dont,shi)",dont,shi,dontshi
282,1.0,"(dont,shimmi)",dont,shimmi,dontshimmi
283,1.0,"(dont,shitti)",dont,shitti,dontshitti
284,1.0,"(dont,short)",dont,short,dontshort
285,1.0,"(dont,shot)",dont,shot,dontshot
286,1.0,"(dont,shouldnt)",dont,shouldnt,dontshouldnt
287,1.0,"(dont,shouldv)",dont,shouldv,dontshouldv
288,1.0,"(dont,sign)",dont,sign,dontsign
289,4.0,"(dont,sing)",dont,sing,dontsing
290,2.0,"(dont,sister)",dont,sister,dontsister
291,8.0,"(dont,sit)",dont,sit,dontsit
292,2.0,"(dont,slight)",dont,slight,dontslight
293,2.0,"(dont,sm)",dont,sm,dontsm
294,2.0,"(dont,smh)",dont,smh,dontsmh
295,1.0,"(dont,sob)",dont,sob,dontsob
296,1.0,"(dont,social)",dont,social,dontsocial
297,1.0,"(dont,sodcast)",dont,sodcast,dontsodcast
298,1.0,"(dont,solo)",dont,solo,dontsolo
299,5.0,"(dont,some)",dont,some,dontsome
300,1.0,"(dont,somebodi)",dont,somebodi,dontsomebodi
301,7.0,"(dont,someth)",dont,someth,dontsometh
302,5.0,"(dont,sometim)",dont,sometim,dontsometim
303,1.0,"(dont,speedi)",dont,speedi,dontspeedi
304,5.0,"(dont,spend)",dont,spend,dontspend
305,1.0,"(dont,spoiler)",dont,spoiler,dontspoiler
306,2.0,"(dont,st)",dont,st,dontst
307,1.0,"(dont,stadium)",dont,stadium,dontstadium
308,3.0,"(dont,state)",dont,state,dontstate
309,1.0,"(dont,steeltyton)",dont,steeltyton,dontsteeltyton
310,1.0,"(dont,stomach)",dont,stomach,dontstomach
311,1.0,"(dont,stoptweetinggil)",dont,stoptweetinggil,dontstoptweetinggil
312,1.0,"(dont,string_dol)",dont,string_dol,dontstring_dol
313,1.0,"(dont,substanc)",dont,substanc,dontsubstanc
314,7.0,"(dont,support)",dont,support,dontsupport
315,1.0,"(dont,surpris)",dont,surpris,dontsurpris
